"brand","model","model_year","fuel_type","transmission","ext_col","int_col","accident","clean_title","Horsepower","Engine_Size","Cylinders","Mileage","Price"
"Ford","Utility Police Interceptor Base",2013,"E85 Flex Fuel","6-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",300,3.7,6,51000,10300
"Hyundai","Palisade SEL",2021,"Gasoline","8-Speed Automatic","Moonlight Cloud","Gray","At least 1 accident or damage reported","Yes",332.283838699594,3.8,6,34742,38005
"Lexus","RX 350 RX 350",2022,"Gasoline","Automatic","Blue","Black","None reported","No",332.283838699594,3.71083587046776,6,22372,54598
"INFINITI","Q50 Hybrid Sport",2015,"Hybrid","7-Speed A/T","Black","Black","None reported","Yes",354,3.5,6,88900,15500
"Audi","Q3 45 S line Premium Plus",2021,"Gasoline","8-Speed Automatic","Glacier White Metallic","Black","None reported","No",332.283838699594,2,6,9835,34999
"Acura","ILX 2.4L",2016,"Gasoline","F","Silver","Ebony.","None reported","No",332.283838699594,3.71083587046776,6,136397,14798
"Audi","S3 2.0T Premium Plus",2017,"Gasoline","6-Speed A/T","Blue","Black","None reported","Yes",292,2,4,84000,31000
"BMW","740 iL",2001,"Gasoline","A/T","Green","Green","None reported","Yes",282,4.4,8,242000,7300
"Lexus","RC 350 F Sport",2021,"Gasoline","6-Speed A/T","Black","Black","None reported","Yes",311,3.5,6,23436,41927
"Tesla","Model X Long Range Plus",2020,"","A/T","Black","Black","None reported","Yes",534,3.71083587046776,6,34000,69950
"Land","Rover Range Rover Sport 3.0 Supercharged HST",2021,"Gasoline","Automatic","Fuji White","Pimento / Ebony","None reported","No",332.283838699594,3.71083587046776,6,27608,73897
"Aston","Martin DBS Superleggera",2019,"Gasoline","8-Speed A/T","Silver","Black","None reported","Yes",715,5.2,2,22770,184606
"Toyota","Supra 3.0 Premium",2021,"Gasoline","A/T","Yellow","Black","None reported","Yes",382,3,6,12500,53500
"Lincoln","Aviator Reserve AWD",2022,"Gasoline","Transmission w/Dual Shift Mode","Black","Brown","None reported","Yes",400,3,6,18196,62000
"Jaguar","F-TYPE",2020,"Gasoline","Automatic","Silver","Black","None reported","No",332.283838699594,3.71083587046776,6,15903,47998
"Land","Rover LR4 HSE",2013,"Gasoline","A/T","White","Black","None reported","Yes",375,5,8,79800,29990
"Mercedes-Benz","Metris Base",2021,"Gasoline","9-Speed Automatic","Gray","White","None reported","Yes",332.283838699594,2,6,1685,250000
"Dodge","Challenger SXT",2013,"Gasoline","A/T","Black","Gray","None reported","Yes",305,3.6,6,61074,16800
"Nissan","350Z Enthusiast",2003,"Gasoline","6-Speed M/T","Purple","Unknown","None reported","Yes",287,3.5,6,74000,11000
"Jaguar","F-TYPE R",2018,"Gasoline","8-Speed A/T","Green","Black","None reported","Yes",550,5,8,35250,68750
"Genesis","GV70 3.5T Sport",2023,"Gasoline","8-Speed A/T","Green","Beige","","No",375,3.5,6,5400,60000
"Chevrolet","S-10 LS",2000,"E85 Flex Fuel","A/T","Blue","Black","None reported","Yes",120,2.2,4,133510,4500
"BMW","440 Gran Coupe 440i xDrive",2020,"Gasoline","Automatic","White","Beige","None reported","No",332.283838699594,3.71083587046776,6,25990,38598
"Ford","F-150 XLT",2023,"Gasoline","Automatic","Iconic Silver Metallic","Black","None reported","Yes",332.283838699594,3.5,6,2823,58504
"Chevrolet","Suburban RST",2021,"Gasoline","10-Speed A/T","Blue","Black","None reported","Yes",355,5.3,8,52000,61000
"Hyundai","Elantra N Base",2022,"Gasoline","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",276,2,4,11650,32300
"Nissan","Sentra SR",2016,"Gasoline","Automatic","Blue","Black","None reported","No",332.283838699594,3.71083587046776,6,96541,13998
"Mercedes-Benz","AMG CLA 45 Base 4MATIC",2021,"Gasoline","A/T","Gray","Black","None reported","Yes",382,2,4,17500,59995
"BMW","650 Gran Coupe i xDrive",2015,"Gasoline","8-Speed A/T","Gray","Black","None reported","Yes",445,4.4,8,69000,25700
"Audi","Q5 2.0T Premium Plus",2017,"E85 Flex Fuel","8-Speed Automatic","Mythos Black Metallic","Black","None reported","Yes",332.283838699594,2,6,81880,21375
"Mercedes-Benz","AMG C 43 Base 4MATIC",2018,"Gasoline","9-Speed A/T","Silver","Black","None reported","Yes",362,3,6,28800,48000
"Dodge","Ram 1500 Laramie Mega Cab",2006,"Gasoline","A/T","Silver","Gray","At least 1 accident or damage reported","Yes",345,5.7,8,300183,10900
"BMW","i3 120Ah w/Range Extender",2020,"Hybrid","Automatic","Black","Black","None reported","No",332.283838699594,3.71083587046776,6,35035,24998
"Kia","Sorento SX",2011,"Gasoline","A/T","Black","Black","None reported","Yes",276,3.5,6,171000,5999
"Lexus","LX 570 Base",2016,"Gasoline","8-Speed A/T","Black","Beige","None reported","Yes",383,5.7,8,118700,46900
"Jeep","New Compass Trailhawk",2017,"Gasoline","A/T","Red","Black","None reported","Yes",180,2.4,4,119000,15900
"BMW","340 i",2018,"Gasoline","Automatic","Gray","Black","None reported","No",332.283838699594,3.71083587046776,6,44261,33598
"Audi","A4 2.0T Premium Plus quattro",2012,"Gasoline","8-Speed A/T","Silver","Black","None reported","Yes",211,2,4,125575,8999
"Hyundai","Tucson SE",2007,"Gasoline","A/T","Gold","Beige","None reported","Yes",173,2.7,6,16200,8200
"BMW","Z4 sDrive28i",2014,"Gasoline","A/T","White","Beige","At least 1 accident or damage reported","Yes",240,2,4,70000,20000
"Bentley","Continental GTC Base",2011,"E85 Flex Fuel","6-Speed A/T","Black","Black","None reported","Yes",552,6,2,20200,79950
"Honda","Passport Elite",2023,"Gasoline","Automatic","Lunar Silver Metallic","Gray","None reported","No",332.283838699594,3.71083587046776,6,2978,45498
"Dodge","Sprinter 2500",2007,"Diesel","5-Speed A/T","White","Gray","At least 1 accident or damage reported","Yes",332.283838699594,3,6,189719,14000
